t(s); x(m); y(m); z(m)
2.35;1.370324594;2.058682815;0.960293686
2.36;1.346179727;2.056979866;0.965381639
2.37;1.321940258;2.0549625;0.970126596
2.38;1.297610079;2.052630295;0.974526873
2.39;1.273193088;2.049982877;0.978580904
2.4;1.248693196;2.047019922;0.982287251
2.41;1.22411432;2.043741156;0.985644595
2.42;1.199460386;2.040146352;0.988651745
2.43;1.174735328;2.036235337;0.991307631
2.44;1.149943084;2.032007983;0.993611311
2.45;1.125087599;2.027464216;0.995561965
2.46;1.100172826;2.022604009;0.9971589
2.47;1.075202718;2.017427385;0.99840155
2.48;1.050181235;2.011934418;0.999289473
2.49;1.025112341;2.006125232;0.999822352
2.5;1;2;1
2.51;0.974848181;1.993558944;0.999822352
2.52;0.949660853;1.986802339;0.999289473
2.53;0.924441987;1.979730506;0.99840155
2.54;0.899195553;1.972343818;0.9971589
2.55;0.873925521;1.964642698;0.995561965
2.56;0.848635862;1.956627618;0.993611311
2.57;0.823330542;1.9482991;0.991307631
2.58;0.798013527;1.939657716;0.988651745
2.59;0.77268878;1.930704087;0.985644595
2.6;0.747360261;1.921438883;0.982287251
2.61;0.722031925;1.911862826;0.978580904
2.62;0.696707722;1.901976684;0.974526873
2.63;0.671391598;1.891781277;0.970126596
2.64;0.646087491;1.881277473;0.965381639
2.65;0.620799335;1.870466188;0.960293686
2.66;0.595531056;1.85934839;0.954864545
2.67;0.570286571;1.847925093;0.949096145
2.68;0.545069789;1.836197361;0.942990536
2.69;0.519884611;1.824166306;0.936549887
2.7;0.494734927;1.811833089;0.929776486
2.71;0.469624618;1.799198919;0.92267274
2.72;0.444557555;1.786265052;0.915241173
2.73;0.419537594;1.773032795;0.907484425
2.74;0.394568582;1.7595035;0.899405252
2.75;0.369654352;1.745678568;0.891006524
2.76;0.344798725;1.731559445;0.882291226
2.77;0.320005506;1.717147627;0.873262455
2.78;0.295278488;1.702444656;0.863923417
2.79;0.270621448;1.687452121;0.854277432
2.8;0.246038145;1.672171657;0.844327926
2.81;0.221532326;1.656604946;0.834078434
2.82;0.197107719;1.640753714;0.823532598
2.83;0.172768033;1.624619736;0.812694164
2.84;0.148516962;1.608204831;0.801566985
2.85;0.124358179;1.591510864;0.790155012
2.86;0.100295339;1.574539742;0.778462302
2.87;0.076332079;1.557293422;0.766493007
2.88;0.052472012;1.539773901;0.754251381
2.89;0.028718732;1.521983222;0.741741773
2.9;0.005075813;1.503923473;0.728968627
2.91;-0.018453195;1.485596784;0.715936483
2.92;-0.041864764;1.467005328;0.70264997
2.93;-0.065155389;1.448151323;0.689113808
2.94;-0.088321588;1.429037028;0.675332808
2.95;-0.111359904;1.409664745;0.661311865
2.96;-0.134266904;1.390036818;0.647055962
2.97;-0.157039181;1.370155632;0.632570162
2.98;-0.179673354;1.350023614;0.617859613
2.99;-0.202166065;1.329643232;0.602929542
3;-0.224513988;1.309016994;0.587785252
3.01;-0.246713821;1.28814745;0.572432126
3.02;-0.26876229;1.267037187;0.556875616
3.03;-0.290656151;1.245688835;0.541121252
3.04;-0.312392187;1.224105059;0.52517463
3.05;-0.333967211;1.202288565;0.509041416
3.06;-0.355378065;1.180242099;0.492727342
3.07;-0.376621625;1.157968441;0.476238204
3.08;-0.397694792;1.135470412;0.459579861
3.09;-0.418594504;1.112750868;0.442758231
3.1;-0.439317726;1.089812702;0.425779292
3.11;-0.459861458;1.066658844;0.408649075
3.12;-0.480222733;1.043292259;0.391373667
3.13;-0.500398615;1.019715947;0.373959206
3.14;-0.520386202;0.995932945;0.356411879
3.15;-0.540182629;0.971946321;0.33873792
3.16;-0.559785062;0.947759181;0.32094361
3.17;-0.579190703;0.92337466;0.30303527
3.18;-0.598396791;0.898795931;0.285019262
3.19;-0.617400597;0.874026195;0.266901989
3.2;-0.636199433;0.849068688;0.248689887
3.21;-0.654790644;0.823926677;0.230389427
3.22;-0.673171613;0.79860346;0.21200711
3.23;-0.691339761;0.773102364;0.193549468
3.24;-0.709292546;0.74742675;0.175023059
3.25;-0.727027465;0.721580005;0.156434465
3.26;-0.744542053;0.695565546;0.137790291
3.27;-0.761833884;0.66938682;0.11909716
3.28;-0.778900572;0.643047301;0.100361715
3.29;-0.79573977;0.61655049;0.081590612
3.3;-0.812349171;0.589899916;0.06279052
3.31;-0.828726509;0.563099134;0.043968118
3.32;-0.844869558;0.536151726;0.025130095
3.33;-0.860776133;0.509061298;0.006283144
3.34;-0.876444092;0.481831481;-0.01256604
3.35;-0.891871333;0.454465932;-0.031410759
3.36;-0.907055797;0.426968331;-0.050244318
3.37;-0.921995466;0.399342379;-0.069060026
3.38;-0.936688367;0.371591802;-0.087851197
3.39;-0.951132567;0.343720349;-0.106611154
3.4;-0.965326179;0.315731788;-0.125333234
3.41;-0.979267359;0.28762991;-0.144010783
3.42;-0.992954305;0.259418525;-0.162637165
3.43;-1.006385261;0.231101463;-0.181205764
3.44;-1.019558514;0.202682575;-0.199709981
3.45;-1.032472398;0.174165728;-0.218143241
3.46;-1.045125287;0.145554808;-0.236498997
3.47;-1.057515606;0.116853721;-0.254770726
3.48;-1.069641821;0.088066386;-0.272951936
3.49;-1.081502446;0.05919674;-0.291036167
3.5;-1.093096038;0.030248736;-0.309016994
3.51;-1.104421204;0.001226343;-0.32688803
3.52;-1.115476593;-0.027866458;-0.344642923
3.53;-1.126260904;-0.057025671;-0.362275367
3.54;-1.136772879;-0.086247285;-0.379779096
3.55;-1.14701131;-0.115527279;-0.397147891
3.56;-1.156975034;-0.144861619;-0.414375581
3.57;-1.166662935;-0.174246259;-0.431456046
3.58;-1.176073946;-0.203677141;-0.448383216
3.59;-1.185207045;-0.233150201;-0.465151078
3.6;-1.194061259;-0.262661361;-0.481753674
3.61;-1.202635662;-0.292206535;-0.498185105
3.62;-1.210929377;-0.321781631;-0.514439534
3.63;-1.218941574;-0.351382547;-0.530511184
3.64;-1.226671471;-0.381005174;-0.546394347
3.65;-1.234118333;-0.410645398;-0.562083378
3.66;-1.241281476;-0.440299098;-0.577572703
3.67;-1.248160261;-0.469962147;-0.59285682
3.68;-1.254754101;-0.499630415;-0.607930298
3.69;-1.261062454;-0.529299768;-0.62278778
3.7;-1.267084829;-0.558966067;-0.63742399
3.71;-1.272820783;-0.588625172;-0.651833725
3.72;-1.27826992;-0.61827294;-0.666011867
3.73;-1.283431896;-0.647905228;-0.679953379
3.74;-1.288306411;-0.67751789;-0.693653306
3.75;-1.292893219;-0.707106781;-0.707106781
3.76;-1.297192119;-0.736667757;-0.720309025
3.77;-1.30120296;-0.766196674;-0.733255346
3.78;-1.304925639;-0.79568939;-0.745941145
3.79;-1.308360105;-0.825141767;-0.758361915
3.8;-1.311506351;-0.854549666;-0.770513243
3.81;-1.314364422;-0.883908957;-0.782390811
3.82;-1.31693441;-0.91321551;-0.793990399
3.83;-1.319216457;-0.942465202;-0.805307886
3.84;-1.321210754;-0.971653915;-0.816339251
3.85;-1.322917537;-1.000777537;-0.827080574
3.86;-1.324337096;-1.029831962;-0.83752804
3.87;-1.325469764;-1.058813094;-0.847677936
3.88;-1.326315927;-1.087716841;-0.857526656
3.89;-1.326876016;-1.116539125;-0.867070701
3.9;-1.327150512;-1.145275872;-0.87630668
3.91;-1.327139943;-1.173923021;-0.885231311
3.92;-1.326844886;-1.202476521;-0.893841424
3.93;-1.326265965;-1.230932332;-0.902133959
3.94;-1.325403853;-1.259286426;-0.910105971
3.95;-1.324259269;-1.287534787;-0.917754626
3.96;-1.32283298;-1.315673411;-0.925077207
3.97;-1.321125801;-1.343698311;-0.932071112
3.98;-1.319138595;-1.37160551;-0.938733858
3.99;-1.316872269;-1.399391049;-0.945063075
4;-1.31432778;-1.427050983;-0.951056516
4.01;-1.31150613;-1.454581384;-0.956712052
4.02;-1.308408368;-1.48197834;-0.962027672
4.03;-1.30503559;-1.509237956;-0.967001488
4.04;-1.301388936;-1.536356355;-0.971631733
4.05;-1.297469594;-1.56332968;-0.975916762
4.06;-1.293278797;-1.59015409;-0.979855052
4.07;-1.288817824;-1.616825767;-0.983445205
4.08;-1.284087999;-1.643340911;-0.986685944
4.09;-1.279090689;-1.669695744;-0.989576119
4.1;-1.27382731;-1.695886509;-0.992114701
