t_interpolado,tray_x_interpolado,tray_y_interpolado,tray_z_interpolado
3.13,-0.49991279593556254,1.019449761033641,0.3740498243712708
3.14,-0.5198642467908962,0.9956340654440557,0.35646645979226493
3.15,-0.5396269600253772,0.9716154300853845,0.3387543668508289
3.16,-0.5591984495100376,0.9473973412976496,0.32092040111381187
3.17,-0.5785762291159057,0.9229832854208783,0.3029714181480664
3.18,-0.5977578127140133,0.8983767487950932,0.28491427352044163
3.19,-0.6167407141753891,0.8735812177603215,0.2667558227977901
3.2,-0.6355224473710648,0.8486001786565859,0.24850292154696096
3.21,-0.654100526172069,0.8234371178239129,0.23016242533480666
3.22,-0.6724724644494332,0.7980955216023257,0.21174118972817635
3.23,-0.6906357760741865,0.7725788763318512,0.1932460702939226
3.24,-0.70858797491736,0.7468906683525122,0.1746839225988946
3.25,-0.7263265748499829,0.7210343840043353,0.1560616022099447
3.26,-0.7438490897430856,0.6950135096273446,0.137385964693923
3.27,-0.7611530334676995,0.6688315315615638,0.1186638656176795
3.28,-0.7782359198948529,0.64249193614702,0.09990216054806664
3.29,-0.7950952628955775,0.6159982097237356,0.08110770505193356
3.3,-0.8117285763409022,0.5893538386317381,0.06228735469613285
3.31,-0.8281333741018585,0.5625623092110495,0.04344796504751365
3.32,-0.844307170049475,0.5356271078016974,0.024596391672928423
3.33,-0.8602474780547834,0.5085517207437044,0.005739490139226276
3.34,-0.8759518119888126,0.48133963437709726,-0.013115883986740143
3.35,-0.8914176857225937,0.4539943350418989,-0.031962875138121793
3.36,-0.9066426131271561,0.4265193090781361,-0.05079462774806615
3.37,-0.9216241080735308,0.39891804282583176,-0.06960428624972402
3.38,-0.9363596844327471,0.37119402262501283,-0.08838499507624294
3.39,-0.950846856075836,0.34335073481570194,-0.10712989866077377
3.4,-0.9650831368738267,0.31539166573792615,-0.12583214143646396
3.41,-0.9790660406977505,0.28732030173170814,-0.1444848678364644
3.42,-0.9927930814186362,0.2591401291370749,-0.16308122229392258
3.43,-1.0062617729075154,0.23085463429404912,-0.18161434924198927
3.44,-1.019469629035417,0.20246730354265785,-0.2000773931138122
3.45,-1.0324141636733724,0.17398162322292368,-0.21846349834254186
3.46,-1.0450928906924104,0.14540107967487387,-0.23676580936132602
3.47,-1.0575033239635623,0.11672915923853071,-0.2549774706033154
3.48,-1.0696429773578575,0.08796934825392162,-0.2730916265016575
3.49,-1.081509364746327,0.05912513306106899,-0.2911014214895032
3.5,-1.0931,0.0302,-0.309
3.51,-1.1044127825551824,0.0011975560413022665,-0.32678083030718197
3.52,-1.1154471541092812,-0.027878109322181443,-0.34443867604861883
3.53,-1.126202941924978,-0.05702278596704058,-0.3619686247027621
3.54,-1.1366799732649555,-0.08623226376986977,-0.3793657637480663
3.55,-1.1468780753918948,-0.11550233260725845,-0.3966251806629831
3.56,-1.1567970755684793,-0.14482878235580124,-0.41374196292596693
3.57,-1.1664368010573896,-0.1742074028920876,-0.4307111980154693
3.58,-1.175797079121309,-0.20363398409271213,-0.4475279734099449
3.59,-1.1848777370229187,-0.2331043158342643,-0.4641873765878451
3.6,-1.1936786020249015,-0.2626141879933387,-0.4806844950276244
3.61,-1.2021995013899387,-0.2921593904465248,-0.49701441620773457
3.62,-1.2104402623807131,-0.32173571307041715,-0.51317222760663
3.63,-1.218400712259906,-0.35133894574160535,-0.5291530167027623
3.64,-1.2260806782902007,-0.38096487833668385,-0.5449518709745859
